"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/client/src/components/pages/Skeleton.js", "JavaScript", 29, 0, 0, 0, 0, 1, 6, 36
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/client/src/index.js", "JavaScript", 5, 0, 0, 0, 0, 2, 3, 10
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/client/src/utilities.css", "CSS", 0, 58, 0, 0, 0, 16, 17, 91
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/client/src/utilities.js", "JavaScript", 37, 0, 0, 0, 0, 21, 6, 64
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/package-lock.json", "JSON", 0, 0, 13265, 0, 0, 0, 1, 13266
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/package.json", "JSON", 0, 0, 58, 0, 0, 0, 1, 59
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/server/api.js", "JavaScript", 169, 0, 0, 0, 0, 33, 29, 231
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/server/auth.js", "JavaScript", 56, 0, 0, 0, 0, 7, 12, 75
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/server/models/answer.js", "JavaScript", 8, 0, 0, 0, 0, 0, 3, 11
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/server/models/group.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 16
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/server/models/user.js", "JavaScript", 9, 0, 0, 0, 0, 1, 3, 13
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/server/server-socket.js", "JavaScript", 37, 0, 0, 0, 0, 2, 10, 49
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/server/server.js", "JavaScript", 56, 0, 0, 0, 0, 33, 17, 106
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/server/validator.js", "JavaScript", 45, 0, 0, 0, 0, 13, 10, 68
"/Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/webpack.config.js", "JavaScript", 51, 0, 0, 0, 0, 24, 3, 78
"Total", "-", 1353, 1411, 13332, 3, 13, 318, 418, 16848
